rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.53077394,-0.0094730705,-0.003525,-0.007504467,-0.016744224,-0.0646217,0.0032019697,-0.0006605668,-0.01804683,-0.060484063,-0.10074585,-0.013839461,-0.042109698,0.0,-0.0038254075,-0.0084703015,0.01112625,0.025615241,0.8883333,-20.71370724269322
-0.72974175,-0.014884286,-0.010974999,-0.012088766,-0.026282605,-0.09895422,0.003625447,-0.0008394334,-0.03315995,-0.093698084,-0.1591979,-0.021659559,-0.068663,0.0,-0.0065842285,-0.013526637,0.013367291,0.03978745,0.8497917,-23.1968412399292
-0.89897573,-0.018741613,-0.008525001,-0.014447374,-0.032197285,-0.09379661,0.0049926867,-0.0011585001,-0.029120266,-0.07853241,-0.16527669,-0.026754377,-0.07564512,0.0,-0.0067523858,-0.0142264385,0.019478912,0.041501667,0.8185417,-25.52118235367995
-1.0810685,-0.017905995,-0.00854375,-0.017840505,-0.034467682,-0.091478154,0.0046383054,-0.0013597918,-0.027942285,-0.059067875,-0.17949365,-0.032161668,-0.08404436,0.0,-0.0066281497,-0.013605113,0.021244248,0.042053144,0.770625,-28.20714585324551
-1.0881639,-0.022413863,-0.012162499,-0.020428732,-0.042390715,-0.11899152,0.005148432,-0.0012293668,-0.036369734,-0.07530651,-0.21214867,-0.03694596,-0.10121605,0.0,-0.00909886,-0.01668941,0.02267526,0.051193774,0.7189583,-29.03697849620472
-1.3404016,-0.024186108,-0.010716666,-0.023223689,-0.047129013,-0.09696295,0.0053723743,-0.0017700003,-0.0337737,-0.080530755,-0.19539385,-0.042039644,-0.10091172,0.0,-0.009626215,-0.016971285,0.027840083,0.07066475,0.6935417,-30.452404477703038
-1.2386988,-0.023690723,-0.013024999,-0.024985373,-0.047867443,-0.10840626,0.0052030217,-0.0021230006,-0.039471757,-0.08103508,-0.23217368,-0.045453124,-0.10593748,0.0,-0.010296656,-0.017921835,0.028284416,0.07862259,0.65458333,-31.64582328307323
-1.3391565,-0.025479551,-0.016612502,-0.026660291,-0.054431688,-0.12124645,0.008721426,-0.001985567,-0.04617743,-0.07731646,-0.25929737,-0.04800924,-0.11787456,0.0,-0.011833217,-0.019208616,0.028273657,0.11093682,0.61437505,-32.73899678750472
-1.2996821,-0.029273858,-0.022900006,-0.027527567,-0.050420396,-0.14220402,0.0058283857,-0.0019938005,-0.045496594,-0.08192481,-0.27629438,-0.05095349,-0.12810217,0.0,-0.010164364,-0.022661492,0.031728894,0.09410894,0.57854164,-33.17012519836426
-1.4837952,-0.02797832,-0.013174999,-0.03187002,-0.05879926,-0.13121223,0.007191272,-0.002422067,-0.044936918,-0.08510339,-0.2852928,-0.05762095,-0.13461438,0.0,-0.012583934,-0.021140505,0.040871095,0.0546967,0.56645834,-33.880858700684826
