rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716797,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716797,0.0
-0.31269866,-0.004906499,-0.0016041668,-0.0037956284,-0.008110026,-0.027470788,0.0006188517,-0.0002953445,-0.006481128,-0.03303177,-0.042952746,-0.006684541,-0.018755557,0.0,-0.002000435,-0.0039089536,0.0060497886,0.009793012,0.9697673,-19.39118906167837
-0.6929469,-0.012153355,-0.0062669045,-0.009632111,-0.02191298,-0.07690042,0.0026268922,-0.00070567493,-0.020965353,-0.06981571,-0.123853914,-0.017424071,-0.05114671,0.0,-0.005053663,-0.010284878,0.011632639,0.025434453,0.94677734,-21.266001653067672
-0.71358746,-0.0150114205,-0.011887081,-0.0124831945,-0.027807062,-0.09789805,0.003859803,-0.0007088373,-0.028944187,-0.078596115,-0.16451451,-0.022230439,-0.066363946,0.0,-0.0062176986,-0.012682757,0.014346866,0.035109907,0.902181,-23.62236222267151
-0.92433584,-0.016158028,-0.011484226,-0.015262826,-0.032107525,-0.1094629,0.004577673,-0.00088409416,-0.030378211,-0.07353693,-0.1944214,-0.02719896,-0.07957493,0.0,-0.0072022406,-0.013754918,0.016943388,0.04799516,0.85550946,-27.971862030029296
-1.0193396,-0.018594818,-0.012990832,-0.017279286,-0.03439984,-0.12035602,0.004418223,-0.0010213528,-0.03383417,-0.07698201,-0.21755236,-0.030964516,-0.09080915,0.0,-0.0068259723,-0.015402778,0.01749532,0.056895554,0.8220215,-31.579932403564452
-1.2041726,-0.020985803,-0.016816668,-0.020131126,-0.04128565,-0.12570988,0.0071199676,-0.0011061835,-0.03624219,-0.08555823,-0.23619334,-0.03602746,-0.102113694,0.0,-0.00850094,-0.016873553,0.022290906,0.062173992,0.7857666,-35.319468879699706
-1.1266706,-0.02067276,-0.014108333,-0.020450417,-0.04028129,-0.1178398,0.0054176766,-0.0012587202,-0.037397753,-0.0858313,-0.23231018,-0.036326535,-0.09837364,0.0,-0.008113115,-0.01604655,0.023284115,0.05547119,0.7531332,-36.6035880279541
-1.3427553,-0.023714721,-0.01826875,-0.023294501,-0.046186786,-0.13636538,0.005704616,-0.0012854051,-0.038509242,-0.08485246,-0.2532245,-0.04148893,-0.11335226,0.0,-0.009558505,-0.018438693,0.025461148,0.072325945,0.7269287,-39.217690525054934
-1.4011902,-0.024526488,-0.017257143,-0.024276767,-0.047970556,-0.13678265,0.0060025766,-0.0014135016,-0.038621068,-0.08477815,-0.25813496,-0.043344766,-0.116559625,0.0,-0.010045202,-0.01890494,0.025592666,0.07827068,0.69970703,-42.40818113327026
-1.4762163,-0.02544276,-0.01667,-0.025840163,-0.050538536,-0.12853897,0.0065521616,-0.0016237735,-0.038567822,-0.09168701,-0.2532074,-0.046007376,-0.11795238,0.0,-0.010194087,-0.018666353,0.027933896,0.0850473,0.6705322,-44.39593086242676
-1.5710497,-0.026863102,-0.019467086,-0.02837286,-0.055198252,-0.14576082,0.005660062,-0.0015243422,-0.04448401,-0.08851268,-0.2922165,-0.050368205,-0.13056654,0.0,-0.01212227,-0.020673517,0.030679796,0.08246194,0.6410319,-47.410262184143065
-1.5174806,-0.027342742,-0.021267503,-0.028410282,-0.052364916,-0.14509903,0.0060469154,-0.002013787,-0.04273684,-0.09057107,-0.2720142,-0.050402522,-0.1275502,0.0,-0.010061789,-0.020977428,0.031342477,0.08781792,0.625,-47.297794075012206
-1.6032534,-0.028476318,-0.019763095,-0.03054837,-0.058145087,-0.140822,0.00663713,-0.0018244067,-0.046581782,-0.094528966,-0.29850492,-0.054097485,-0.133111,0.0,-0.011963844,-0.020992246,0.036768977,0.1072168,0.59822595,-47.490128669738766
