rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.5276311,-0.009244527,-0.003225,-0.007486378,-0.016693184,-0.06499916,0.0033397123,-0.00064993347,-0.01827965,-0.06127075,-0.10232568,-0.013980499,-0.042412322,0.0,-0.004193317,-0.008446695,0.011175732,0.027854264,0.8891667,-21.397515296936035
-0.7978481,-0.014532282,-0.009275,-0.0122190295,-0.03171624,-0.105308816,0.005180757,-0.00079956674,-0.03199005,-0.085453175,-0.16831002,-0.021867517,-0.06911868,0.0,-0.008839835,-0.014135858,0.012024293,0.022919117,0.85354173,-22.91515350341797
-0.98089695,-0.019184887,-0.007725,-0.0145210605,-0.032411367,-0.10106157,0.0056356024,-0.0009665724,-0.031109542,-0.074077904,-0.16777474,-0.02653949,-0.078832656,0.0,-0.0070953905,-0.014909653,0.018447865,0.042344045,0.820625,-25.692194832695854
-1.0163107,-0.017419051,-0.0073749996,-0.017714884,-0.036911488,-0.097460374,0.0033681537,-0.0011311001,-0.03265796,-0.062230714,-0.19193754,-0.03214195,-0.08451974,0.0,-0.007644004,-0.014120193,0.022703294,0.05125314,0.77458334,-27.352276134490968
-1.01473,-0.02010912,-0.009199999,-0.018618714,-0.036655236,-0.114917725,0.0035708554,-0.0013911335,-0.034886762,-0.0697737,-0.20607494,-0.03323639,-0.092750005,0.0,-0.008641384,-0.015885253,0.019190522,0.0628358,0.7385416,-28.544213824801975
-1.1120667,-0.02520467,-0.017825,-0.022921143,-0.044829186,-0.12547815,0.0040177647,-0.001817578,-0.035761088,-0.08102403,-0.21965027,-0.04132337,-0.105909616,0.0,-0.0092067495,-0.018702574,0.024527598,0.06633097,0.70458335,-29.951619687287703
-1.0139707,-0.018712742,-0.015683336,-0.018747514,-0.03395962,-0.07767834,0.005733438,-0.0021067224,-0.026631895,-0.059270613,-0.15724696,-0.034498833,-0.07892551,0.0,-0.0075253113,-0.013420176,0.024448957,0.07828572,0.6589583,-30.602550506591797
