rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716797,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716797,0.0
-0.34627575,-0.005108398,-0.0019500002,-0.004040925,-0.008406613,-0.029572733,0.0010495733,-0.00034348894,-0.0074071065,-0.032939594,-0.047293197,-0.0071523613,-0.020070784,0.0,-0.0019871444,-0.0041623274,0.0062658796,0.00916829,0.9696045,-19.107935391939602
-0.7023715,-0.012240052,-0.0058291666,-0.009602002,-0.021834593,-0.07705251,0.0024854713,-0.0007480566,-0.02057783,-0.0702604,-0.12383294,-0.017334579,-0.051232748,0.0,-0.00498214,-0.010256153,0.012784384,0.02613618,0.9474284,-21.280531521084942
-0.7451593,-0.015401899,-0.01117863,-0.01238486,-0.027791366,-0.09792756,0.0036144191,-0.00085355644,-0.029019833,-0.07683185,-0.16271296,-0.022319203,-0.06671934,0.0,-0.0060555395,-0.012825072,0.013738144,0.034711793,0.90197754,-23.734203071594237
-0.9202642,-0.017491555,-0.014087142,-0.015232174,-0.032779522,-0.117048144,0.0041761035,-0.0007454533,-0.033324257,-0.07658515,-0.20259267,-0.027195014,-0.08384993,0.0,-0.007210019,-0.014713643,0.016426954,0.051056974,0.86035156,-29.021553268432616
-0.9613492,-0.018581454,-0.013612915,-0.017282635,-0.03690896,-0.12975048,0.0039957827,-0.00082535995,-0.035465278,-0.07762665,-0.2311375,-0.03086595,-0.09262588,0.0,-0.008631358,-0.016157119,0.01855973,0.053245604,0.82393396,-31.75182710647583
-1.0881736,-0.01998019,-0.014620832,-0.018677242,-0.037610434,-0.1197598,0.0053932886,-0.000961025,-0.033820793,-0.08586447,-0.2188134,-0.033360966,-0.09457996,0.0,-0.007935749,-0.016272685,0.018689265,0.052862808,0.79305017,-33.70375970840454
-1.2459198,-0.022350218,-0.015081249,-0.021888142,-0.04323388,-0.13352972,0.0059209056,-0.001224653,-0.036519043,-0.085750006,-0.2390114,-0.03897825,-0.108005576,0.0,-0.008853545,-0.017315857,0.025092214,0.06864884,0.767863,-37.273197383880614
-1.201319,-0.021795284,-0.015725655,-0.021868944,-0.04341091,-0.12581636,0.0056913495,-0.001486733,-0.035824187,-0.08592324,-0.23280708,-0.039051604,-0.10506596,0.0,-0.008458679,-0.016994301,0.024096366,0.06638383,0.7307129,-38.82973136901855
-1.3598366,-0.024350708,-0.01694125,-0.024165284,-0.048522364,-0.1377601,0.0065319417,-0.001441263,-0.039871078,-0.08902635,-0.2560501,-0.04262752,-0.11560635,0.0,-0.010502044,-0.018568113,0.026131583,0.074852794,0.69628906,-40.42806932449341
-1.5243175,-0.026234671,-0.018180715,-0.027291507,-0.053026374,-0.1485486,0.007337633,-0.0017397178,-0.042367782,-0.0884392,-0.28656137,-0.04876312,-0.12892815,0.0,-0.010555982,-0.020401113,0.029974919,0.08358519,0.6690674,-43.825877017974854
-1.5497607,-0.026882544,-0.01903887,-0.027970403,-0.054480344,-0.13957636,0.006934284,-0.0018963476,-0.042468227,-0.093258075,-0.27761203,-0.050012134,-0.12734888,0.0,-0.010671353,-0.020451356,0.032544076,0.08061161,0.6418864,-45.549231643676755
-1.5223659,-0.026725596,-0.016246527,-0.028338522,-0.05434847,-0.1371806,0.007709439,-0.0020579654,-0.04092033,-0.09040123,-0.26959074,-0.050253756,-0.12542465,0.0,-0.010600991,-0.019853417,0.03214042,0.08410716,0.6114502,-47.95838842391968
-1.6859677,-0.028983876,-0.017202085,-0.031655088,-0.05894841,-0.13359767,0.007424594,-0.0021009948,-0.043760926,-0.095164046,-0.28105277,-0.056035183,-0.13198344,0.0,-0.01171398,-0.021110632,0.038661852,0.10011917,0.5823568,-48.14977479934692
