rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
-0.34739503,-0.004592194,-0.0020500002,-0.003564106,-0.007852952,-0.028513234,0.00067036034,-0.00035880003,-0.007789662,-0.03480681,-0.04459524,-0.00647805,-0.018738566,0.0,-0.002326713,-0.0038948185,0.005403012,0.014957933,0.91650003,-21.417948404947918
-0.68450046,-0.012471165,-0.0072375005,-0.009450144,-0.022558928,-0.07492074,0.0025961464,-0.0004243168,-0.020948544,-0.07205565,-0.11340266,-0.016918302,-0.04904177,0.0,-0.0050449497,-0.010290388,0.009781591,0.023620268,0.8963334,-22.189563910166424
-0.7464607,-0.015450582,-0.012218749,-0.012294084,-0.026582714,-0.10143384,0.00354884,-0.0008879501,-0.028643725,-0.07008344,-0.16174585,-0.021895029,-0.06765187,0.0,-0.0064298343,-0.0130288135,0.013828963,0.038762014,0.8671667,-23.339173453194753
