rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.6016089,-0.010695927,-0.0058500003,-0.008194302,-0.017427621,-0.07056272,0.004249622,-0.0008300668,-0.02031497,-0.071020976,-0.107759975,-0.015143583,-0.045924645,0.0,-0.0040605403,-0.009410061,0.012281105,0.029911583,0.8885417,-21.970909754435223
-0.6227143,-0.014205731,-0.0067750006,-0.011932207,-0.028638624,-0.10533978,0.0050376747,-0.0008490502,-0.028587906,-0.06731002,-0.17252508,-0.021747619,-0.0696143,0.0,-0.0073359283,-0.013194519,0.014358899,0.041371893,0.85249996,-22.69772515978132
-0.79647774,-0.01676558,-0.009775,-0.014766036,-0.03143009,-0.12634858,0.00286476,-0.0009899,-0.038776577,-0.06271851,-0.2177065,-0.026850205,-0.088249564,0.0,-0.006131936,-0.015531529,0.014356127,0.03654339,0.82416666,-25.00423414810844
-0.9895555,-0.017672166,-0.008762499,-0.017810255,-0.035859868,-0.09373929,0.004031538,-0.0015850503,-0.030158363,-0.060205203,-0.18084398,-0.032125466,-0.08203943,0.0,-0.006686992,-0.014245637,0.020404253,0.04911103,0.79124993,-27.42450179123297
-1.0791103,-0.021542232,-0.010199999,-0.020479618,-0.040671863,-0.11490228,0.004384174,-0.001484867,-0.033280306,-0.071591444,-0.21239404,-0.036752865,-0.10002836,0.0,-0.008603296,-0.01663696,0.023706313,0.06059335,0.75375,-28.81804743000105
-1.257689,-0.022454014,-0.01215,-0.02315022,-0.044792503,-0.106930725,0.0067499196,-0.0015549669,-0.037607998,-0.08389708,-0.21592365,-0.04188299,-0.1046008,0.0,-0.009447936,-0.016559713,0.031658527,0.07786184,0.71583337,-30.783932628053606
-1.501461,-0.024454813,-0.014712498,-0.024308786,-0.04929579,-0.12212534,0.005436877,-0.0015913169,-0.03675241,-0.06632743,-0.23560199,-0.043496072,-0.11703354,0.0,-0.009991065,-0.018470198,0.025362706,0.058755647,0.68416667,-32.11347399393718
