rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.6063795,-0.00967995,-0.0044250004,-0.008084504,-0.019841956,-0.068484664,0.0030658008,-0.0006559668,-0.02005548,-0.07171415,-0.11021479,-0.01486533,-0.044763803,0.0,-0.0051173344,-0.009003214,0.011176385,0.026835456,0.8875,-20.48182691846575
-0.6499517,-0.014536388,-0.008212499,-0.012343248,-0.027464448,-0.103161246,0.0051525664,-0.0008290668,-0.028687801,-0.08886284,-0.16464323,-0.021729603,-0.068832435,0.0,-0.0067938636,-0.013419181,0.014100065,0.038597107,0.8516666,-22.05996608734131
-0.90899014,-0.018851425,-0.010574999,-0.014655767,-0.031969912,-0.10676363,0.0041049775,-0.0009804668,-0.032533593,-0.07336277,-0.17900738,-0.026896752,-0.07920767,0.0,-0.0065946653,-0.014507478,0.015682908,0.042022273,0.81937504,-24.632426381111145
-1.0292364,-0.019233944,-0.012224998,-0.017469715,-0.037323076,-0.11107495,0.002237436,-0.0011872835,-0.035057142,-0.059844833,-0.20979063,-0.03205842,-0.09067044,0.0,-0.00751549,-0.015569778,0.020933224,0.046506874,0.7997917,-27.339945015154388
-1.1922828,-0.022874607,-0.014887497,-0.020315437,-0.04107754,-0.12351729,0.0045516915,-0.0011976667,-0.036798827,-0.06837237,-0.2324528,-0.036903854,-0.10422932,0.0,-0.007637873,-0.017128684,0.023671918,0.08083426,0.77375,-28.91850620508194
-1.181024,-0.020886173,-0.008439999,-0.019936081,-0.042450257,-0.116492346,0.0043359916,-0.0011730734,-0.03616719,-0.08021863,-0.2082961,-0.035884194,-0.09724209,0.0,-0.008004628,-0.01628041,0.02440436,0.040726725,0.72270834,-30.943829213419267
-1.3255785,-0.024596035,-0.011037499,-0.025594002,-0.04871449,-0.118603826,0.00798901,-0.0018076503,-0.03789581,-0.07110208,-0.23541825,-0.045598023,-0.11403012,0.0,-0.010025759,-0.01857974,0.029510424,0.083115205,0.69125,-32.236999629295035
