rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
-0.25110942,-0.0033896742,-0.00075000006,-0.0028051573,-0.00629892,-0.020122876,0.0010536778,-0.00036060004,-0.005336888,-0.034458328,-0.030717857,-0.0049877027,-0.013323067,0.0,-0.0012412163,-0.0029205577,0.005366236,0.010386974,0.89875,-19.112759590148926
-0.6833188,-0.012156589,-0.0063125,-0.00918179,-0.022995919,-0.07675343,0.0022219247,-0.0006120001,-0.022090016,-0.07887289,-0.123247966,-0.016860753,-0.05160433,0.0,-0.008810602,-0.0108506,0.0119034005,0.01779554,0.8722917,-21.855918884277344
-0.7764527,-0.015735548,-0.0126249995,-0.011985183,-0.028760774,-0.102672845,0.0024757404,-0.0007253668,-0.028436264,-0.08255486,-0.15774259,-0.021965858,-0.06832348,0.0,-0.00715461,-0.013093232,0.01482938,0.026652984,0.83937496,-23.926563042860764
-0.90623844,-0.0157343,-0.0115249995,-0.014891451,-0.030578397,-0.09616004,0.0046367906,-0.00089653337,-0.026904084,-0.067784354,-0.17801368,-0.027197277,-0.07700616,0.0,-0.0069396375,-0.013235084,0.016686449,0.04705412,0.7925,-25.23675517546825
-1.030863,-0.018441632,-0.011245832,-0.017557342,-0.036666207,-0.110075526,0.0038714386,-0.0010128389,-0.031011693,-0.07974004,-0.20874777,-0.031556405,-0.08800785,0.0,-0.0076773763,-0.014614439,0.024282228,0.040706128,0.75874996,-27.132225074020088
-1.1492996,-0.022634976,-0.016949996,-0.020353824,-0.042951874,-0.1422315,0.0037146066,-0.0014473002,-0.03853616,-0.07474168,-0.24902616,-0.036484934,-0.1084618,0.0,-0.008394796,-0.017560594,0.019587439,0.07505295,0.7216667,-28.141785002591316
-1.2149749,-0.022950625,-0.012191666,-0.022981387,-0.043596666,-0.12399906,0.008461226,-0.001141628,-0.03524472,-0.096315,-0.2407978,-0.0407321,-0.111694574,0.0,-0.009461622,-0.016917739,0.026306339,0.06340754,0.68,-30.30532437401849
-1.316148,-0.023990918,-0.015962498,-0.024103563,-0.046765924,-0.14720413,0.0061802557,-0.0012062668,-0.039484173,-0.08276041,-0.262272,-0.042443357,-0.119129196,0.0,-0.009429557,-0.01901081,0.024814937,0.08787149,0.6454167,-32.03665351867676
