rew_ang_vel_xy,rew_base_height,rew_collision,rew_delta_phi,rew_dof_acc,rew_dof_pos_limits,rew_episode_length,rew_feet_air_time,rew_feet_height,rew_lin_vel_z,rew_orientation,rew_residual_angle,rew_stand_still,rew_stumble,rew_target_smoothness,rew_torques,rew_tracking_ang_vel,rew_tracking_lin_vel,terrain_level,total_reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
-0.4028206,-0.0051611615,-0.0018250002,-0.003427226,-0.010717678,-0.024537047,0.0010042433,-0.00041300006,-0.006809182,-0.022368563,-0.039452117,-0.0059654834,-0.017399605,0.0,-0.0036907631,-0.004052014,0.005021287,0.010753411,0.9166667,-21.784167607625324
-0.758342,-0.012029013,-0.0049750004,-0.009767814,-0.023406526,-0.08059606,0.0025219917,-0.0005669334,-0.01984505,-0.0699982,-0.12344312,-0.017290583,-0.05169807,0.0,-0.0054985983,-0.010709624,0.010985295,0.018201098,0.89350003,-22.786349455515545
-0.79399943,-0.01444893,-0.010225,-0.012186918,-0.027929004,-0.08787056,0.0029147784,-0.00066350016,-0.026848912,-0.07231641,-0.15165341,-0.02221842,-0.06319183,0.0,-0.0054735243,-0.012236742,0.015025097,0.041433487,0.8650001,-23.77821377345494
-0.86453265,-0.016561534,-0.011212498,-0.015016916,-0.03130918,-0.115013525,0.0050257538,-0.0010527835,-0.031509407,-0.07246645,-0.19926128,-0.027048707,-0.08077422,0.0,-0.007471198,-0.014198808,0.016280085,0.041391578,0.81233335,-26.385949008869677
-0.9634718,-0.019032232,-0.015174998,-0.017773177,-0.035005912,-0.12348431,0.004948736,-0.0011609669,-0.031321164,-0.08838421,-0.21116589,-0.032088295,-0.09160187,0.0,-0.0067468486,-0.015268667,0.022234615,0.0621342,0.7596668,-27.197964549064636
-1.1693187,-0.021523137,-0.013324998,-0.020599157,-0.04271906,-0.11210035,0.0053168004,-0.001164967,-0.030842766,-0.088956416,-0.20218298,-0.036936294,-0.09077597,0.0,-0.0073243603,-0.016555358,0.027742473,0.07346232,0.74133337,-28.65773293778703
-1.2264316,-0.020409554,-0.014524998,-0.020065876,-0.040189918,-0.12435947,0.0045100674,-0.0012800501,-0.03336656,-0.06812778,-0.22558606,-0.03519603,-0.10109931,0.0,-0.009074122,-0.01687758,0.022093367,0.057035755,0.70033336,-30.055316426537253
-1.3849471,-0.023033326,-0.011062499,-0.023994176,-0.04761523,-0.12831628,0.0053280247,-0.001515,-0.036999933,-0.08224145,-0.24709277,-0.043023374,-0.11227619,0.0,-0.008564795,-0.017574714,0.031243457,0.06131075,0.6745,-31.367808750697545
-1.1442577,-0.021492928,-0.014787502,-0.021073308,-0.040757313,-0.13559383,0.00491272,-0.0015993502,-0.035545837,-0.08194177,-0.22774652,-0.037904274,-0.106086664,0.0,-0.0076818177,-0.01667419,0.025450617,0.04640445,0.6433334,-33.57521024703979
-1.4735174,-0.023186471,-0.0143,-0.025401127,-0.051944077,-0.16090865,0.010735918,-0.0010936332,-0.04541878,-0.08696009,-0.3075629,-0.04545527,-0.13166802,0.0,-0.009860592,-0.018198391,0.0267011,0.056182824,0.6158334,-35.23025009155273
-1.2882754,-0.023296742,-0.0136375,-0.022854438,-0.047188476,-0.12449174,0.004777746,-0.0013240003,-0.037808876,-0.0848587,-0.24073121,-0.04138665,-0.11196597,0.0,-0.011359881,-0.017400796,0.025276732,0.06560639,0.58950007,-37.008314323425296
-1.7016871,-0.02817524,-0.018374998,-0.02836309,-0.05368001,-0.12621039,0.0055913664,-0.0015918337,-0.038736343,-0.09414044,-0.2650882,-0.050420783,-0.12638846,0.0,-0.009931545,-0.020457156,0.029131487,0.07753295,0.5716667,-38.32319110870361
-1.9639143,-0.033552483,-0.020575,-0.03405329,-0.060208946,-0.14283766,0.0076295016,-0.002185767,-0.042645678,-0.09343237,-0.29160267,-0.060804784,-0.14633831,0.0,-0.011172909,-0.02397719,0.037336692,0.08705696,0.5511667,-41.35336269378662
-1.6472954,-0.030601528,-0.0165125,-0.033306137,-0.058899663,-0.1509797,0.0131917,-0.0022622668,-0.04480415,-0.08726095,-0.30442,-0.05904497,-0.14700347,0.0,-0.01024756,-0.021640688,0.034257963,0.13148227,0.53183335,-43.29439725875854
-1.8968406,-0.033128798,-0.023462508,-0.035063423,-0.0610966,-0.1748883,0.006925582,-0.0027216836,-0.04847616,-0.10634144,-0.33249336,-0.06183088,-0.15934706,0.0,-0.011381058,-0.025225807,0.039774925,0.12817006,0.50850004,-45.31683847427368
-2.0702333,-0.036518507,-0.024537502,-0.0398525,-0.07336886,-0.15278924,0.0077099195,-0.002657156,-0.050727278,-0.09871209,-0.34597704,-0.071416855,-0.17032962,0.0,-0.013109982,-0.026132507,0.0465286,0.13001816,0.49150002,-47.29106063842774
-2.0693555,-0.03273602,-0.015024999,-0.03551707,-0.06620925,-0.14026625,0.0020306876,-0.0025658007,-0.045550436,-0.108755514,-0.29439533,-0.062382948,-0.14784613,0.0,-0.012308272,-0.022492839,0.039121114,0.095632926,0.48000002,-48.22072381973267
-1.6520981,-0.032685615,-0.0210125,-0.03386467,-0.061528962,-0.1569286,0.012707956,-0.0018973169,-0.04999768,-0.10612367,-0.30766255,-0.05947089,-0.1470336,0.0,-0.011317222,-0.025094494,0.042249292,0.10138804,0.47300002,-49.907876873016356
-2.3763423,-0.03680799,-0.03203751,-0.041926514,-0.08003676,-0.1596725,0.012950937,-0.001986167,-0.060616523,-0.1250711,-0.39517507,-0.07409683,-0.17473799,0.0,-0.014517529,-0.026243344,0.047494914,0.16690652,0.45100006,-53.36752223968506
-2.167727,-0.033871192,-0.019075003,-0.03897605,-0.07306858,-0.15793808,0.007185401,-0.0026870004,-0.050909664,-0.11386358,-0.34600878,-0.07000718,-0.17045169,0.0,-0.015092509,-0.024456128,0.04440826,0.15958473,0.43683338,-55.54824499130249
-2.0573673,-0.034735505,-0.023249999,-0.039648842,-0.07221067,-0.14198764,0.0062041674,-0.0034000005,-0.047914337,-0.100213036,-0.3078429,-0.07108375,-0.15666263,0.0,-0.013686279,-0.024301108,0.05356306,0.14331801,0.41950005,-55.807453117370606
-2.6110864,-0.04355843,-0.030250004,-0.047824617,-0.083773226,-0.17239523,0.0051564793,-0.0042041345,-0.05385396,-0.11323069,-0.37536496,-0.085573435,-0.18911162,0.0,-0.015387842,-0.029956063,0.064174116,0.105114,0.40933335,-58.504911460876464
-2.5964892,-0.039701622,-0.025150005,-0.048150808,-0.08823305,-0.1652987,0.011584692,-0.0031206335,-0.058054846,-0.103728645,-0.3831602,-0.08565836,-0.19633083,0.0,-0.016112035,-0.02839705,0.052243423,0.1062382,0.4036667,-57.82099454879761
-2.9534068,-0.046074547,-0.036375016,-0.05219111,-0.09329645,-0.20709723,0.005733408,-0.0028205006,-0.06293541,-0.117203414,-0.47769448,-0.09446224,-0.22638427,0.0,-0.015505481,-0.033121392,0.05729747,0.14561138,0.39733335,-60.29993663787842
-3.2816367,-0.06194393,-0.037962522,-0.06757806,-0.108070776,-0.23256135,0.007451644,-0.0042423843,-0.06475755,-0.13361624,-0.500862,-0.11744928,-0.27139282,0.0,-0.019815022,-0.04056126,0.07374354,0.15325877,0.39200005,-62.24012622833252
